bin,bin_order,bin_label_en,bin_label_es,side,horizon,estimate,se,p,pct,ci_low,ci_high,stars,reference
-15_10,1,≤10 °C,≤10 °C,cold,0,-0.0908088,0.00479861,7.239999999999998e-80,-9.08088,-10.0214,-8.14035,***,FALSE
-15_10,1,≤10 °C,≤10 °C,cold,30,-0.160416,0.0186092,6.68e-18,-16.0416,-19.689,-12.3942,***,FALSE
10_15,2,10–15 °C,10–15 °C,cold,0,-0.053388,0.00246422,4.359999999999999e-104,-5.3388,-5.82179,-4.85582,***,FALSE
10_15,2,10–15 °C,10–15 °C,cold,30,-0.117888,0.0108403,1.5200000000000002e-27,-11.7888,-13.9135,-9.66416,***,FALSE
15_20,3,15–20 °C,15–20 °C,cold,0,-0.0271041,0.00166958,2.8900000000000003e-59,-2.71041,-3.03764,-2.38317,***,FALSE
15_20,3,15–20 °C,15–20 °C,cold,30,-0.052516,0.00690079,2.74e-14,-5.2516,-6.60415,-3.89904,***,FALSE
20_25,4,20–25 °C,20–25 °C,reference,0,0,0,,0,0,0,,TRUE
20_25,4,20–25 °C,20–25 °C,reference,30,0,0,,0,0,0,,TRUE
25_30,5,25–30 °C,25–30 °C,hot,0,0.0246013,0.00186102,6.79e-40,2.46013,2.09537,2.82489,***,FALSE
25_30,5,25–30 °C,25–30 °C,hot,30,0.0446652,0.0083735,9.6e-8,4.46652,2.82531,6.10773,***,FALSE
30_45,6,>30 °C,>30 °C,hot,0,0.0373507,0.0033501,7.23e-29,3.73507,3.07845,4.39169,***,FALSE
30_45,6,>30 °C,>30 °C,hot,30,0.0270759,0.011837,0.0222,2.70759,0.387549,5.02764,**,FALSE
