bin,bin_order,bin_label_en,bin_label_es,side,horizon,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,0,-0.0908088,0.00479861,7.239999999999998e-80,-9.08088,-10.0214,-8.14035,***
-15_10,1,≤10 °C,≤10 °C,cold,1,-0.118604,0.00528124,1.0799999999999998e-111,-11.8604,-12.8956,-10.8253,***
-15_10,1,≤10 °C,≤10 °C,cold,2,-0.12235,0.00576681,6.759999999999999e-100,-12.235,-13.3653,-11.1047,***
-15_10,1,≤10 °C,≤10 °C,cold,3,-0.1384,0.00625056,1.2499999999999998e-108,-13.84,-15.0651,-12.6149,***
-15_10,1,≤10 °C,≤10 °C,cold,4,-0.146149,0.00727532,9.339999999999998e-90,-14.6149,-16.0408,-13.1889,***
-15_10,1,≤10 °C,≤10 °C,cold,5,-0.148235,0.00717305,7.069999999999998e-95,-14.8235,-16.2294,-13.4176,***
-15_10,1,≤10 °C,≤10 °C,cold,6,-0.155037,0.0079489,1.0099999999999999e-84,-15.5037,-17.0617,-13.9458,***
-15_10,1,≤10 °C,≤10 °C,cold,7,-0.148938,0.00838803,1.5499999999999996e-70,-14.8938,-16.5378,-13.2497,***
-15_10,1,≤10 °C,≤10 °C,cold,8,-0.148672,0.00997029,2.78e-50,-14.8672,-16.8214,-12.913,***
-15_10,1,≤10 °C,≤10 °C,cold,9,-0.147994,0.0106627,8.43e-44,-14.7994,-16.8893,-12.7095,***
-15_10,1,≤10 °C,≤10 °C,cold,10,-0.142791,0.0117396,4.88e-34,-14.2791,-16.5801,-11.9782,***
-15_10,1,≤10 °C,≤10 °C,cold,11,-0.140867,0.0130456,3.520000000000001e-27,-14.0867,-16.6436,-11.5297,***
-15_10,1,≤10 °C,≤10 °C,cold,12,-0.134545,0.013706,9.56e-23,-13.4545,-16.1408,-10.7681,***
-15_10,1,≤10 °C,≤10 °C,cold,13,-0.137481,0.0146303,5.610000000000001e-21,-13.7481,-16.6156,-10.8805,***
-15_10,1,≤10 °C,≤10 °C,cold,14,-0.142917,0.0149817,1.4400000000000001e-21,-14.2917,-17.2281,-11.3553,***
