bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,spec_label_en,spec_label_es,nobs,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,0,circ,Circulatory,Circulatorias,12187862,0.00254659,0.0054575,0.641,0.254659,-0.815012,1.32433,
-15_10,1,≤10 °C,≤10 °C,cold,0,non_circ,Non-circulatory,No circulatorias,15588381,-0.0319373,0.00492745,9.08e-11,-3.19373,-4.15951,-2.22795,***
-15_10,1,≤10 °C,≤10 °C,cold,0,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,-0.00475315,0.011591,0.682,-0.475315,-2.74716,1.79653,
-15_10,1,≤10 °C,≤10 °C,cold,1,circ,Circulatory,Circulatorias,12187862,0.0674616,0.00695608,3.07e-22,6.74616,5.38276,8.10955,***
-15_10,1,≤10 °C,≤10 °C,cold,1,non_circ,Non-circulatory,No circulatorias,15588381,0.0188778,0.00599201,0.00163,1.88778,0.71335,3.06222,***
-15_10,1,≤10 °C,≤10 °C,cold,1,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.0665631,0.0136759,1.13e-6,6.65631,3.97584,9.33678,***
-15_10,1,≤10 °C,≤10 °C,cold,2,circ,Circulatory,Circulatorias,12187862,0.129953,0.008492,7.3e-53,12.9953,11.3309,14.6597,***
-15_10,1,≤10 °C,≤10 °C,cold,2,non_circ,Non-circulatory,No circulatorias,15588381,0.0779041,0.00661302,4.93e-32,7.79041,6.49426,9.08656,***
-15_10,1,≤10 °C,≤10 °C,cold,2,other_icd,Other or unknown cause,Otra causa o no especificada,6576306,0.104668,0.0181257,7.71e-9,10.4668,6.91419,14.0195,***
-15_10,1,≤10 °C,≤10 °C,cold,3,circ,Circulatory,Circulatorias,12187862,0.191281,0.00977154,2.5099999999999995e-85,19.1281,17.2129,21.0433,***
-15_10,1,≤10 °C,≤10 °C,cold,3,non_circ,Non-circulatory,No circulatorias,15588381,0.126007,0.00781941,2.01e-58,12.6007,11.0681,14.1333,***
