bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,group_order,group_label_en,group_label_es,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,0,0_12,1,0–12,0–12,-0.120993,0.00612126,5.849999999999998e-87,-12.0993,-13.299,-10.8995,***
-15_10,1,≤10 °C,≤10 °C,cold,0,12_20,2,12–20,12–20,-0.087892,0.00636709,2.41e-43,-8.7892,-10.0372,-7.54125,***
-15_10,1,≤10 °C,≤10 °C,cold,0,20_40,3,20–40,20–40,-0.0695655,0.00657797,3.87e-26,-6.95655,-8.24583,-5.66727,***
-15_10,1,≤10 °C,≤10 °C,cold,0,40_60,4,40–60,40–60,-0.0982316,0.00561494,1.5699999999999997e-68,-9.82316,-10.9237,-8.72263,***
-15_10,1,≤10 °C,≤10 °C,cold,0,60_80,5,60–80,60–80,-0.0918652,0.00723787,6.52e-37,-9.18652,-10.6051,-7.7679,***
-15_10,1,≤10 °C,≤10 °C,cold,0,80_130,6,80+,80+,-0.0810659,0.00949012,1.32e-17,-8.10659,-9.96665,-6.24652,***
-15_10,1,≤10 °C,≤10 °C,cold,1,0_12,1,0–12,0–12,-0.159997,0.007135,2.2799999999999997e-111,-15.9997,-17.3982,-14.6013,***
-15_10,1,≤10 °C,≤10 °C,cold,1,12_20,2,12–20,12–20,-0.114097,0.00935993,3.52e-34,-11.4097,-13.2443,-9.57516,***
-15_10,1,≤10 °C,≤10 °C,cold,1,20_40,3,20–40,20–40,-0.0947418,0.00697246,4.72e-42,-9.47418,-10.8408,-8.10758,***
-15_10,1,≤10 °C,≤10 °C,cold,1,40_60,4,40–60,40–60,-0.125548,0.00630372,2.9299999999999994e-88,-12.5548,-13.7903,-11.3192,***
-15_10,1,≤10 °C,≤10 °C,cold,1,60_80,5,60–80,60–80,-0.109235,0.00683137,1.5e-57,-10.9235,-12.2624,-9.58451,***
-15_10,1,≤10 °C,≤10 °C,cold,1,80_130,6,80+,80+,-0.0845648,0.0123923,8.86e-12,-8.4564800000000009,-10.8854,-6.02759,***
-15_10,1,≤10 °C,≤10 °C,cold,2,0_12,1,0–12,0–12,-0.164618,0.0087372,3.48e-79,-16.4618,-18.1743,-14.7493,***
-15_10,1,≤10 °C,≤10 °C,cold,2,12_20,2,12–20,12–20,-0.123856,0.00898369,3.06e-43,-12.3856,-14.1464,-10.6248,***
-15_10,1,≤10 °C,≤10 °C,cold,2,20_40,3,20–40,20–40,-0.0991305,0.00658559,3.32e-51,-9.91305,-11.2038,-8.62227,***
-15_10,1,≤10 °C,≤10 °C,cold,2,40_60,4,40–60,40–60,-0.128819,0.00676508,7.699999999999998e-81,-12.8819,-14.2078,-11.5559,***
-15_10,1,≤10 °C,≤10 °C,cold,2,60_80,5,60–80,60–80,-0.104202,0.0079271,1.82e-39,-10.4202,-11.9739,-8.86644,***
-15_10,1,≤10 °C,≤10 °C,cold,2,80_130,6,80+,80+,-0.0775773,0.0134112,7.27e-9,-7.75773,-10.3863,-5.12913,***
-15_10,1,≤10 °C,≤10 °C,cold,3,0_12,1,0–12,0–12,-0.184781,0.0105244,5.219999999999999e-69,-18.4781,-20.5409,-16.4153,***
-15_10,1,≤10 °C,≤10 °C,cold,3,12_20,2,12–20,12–20,-0.148319,0.00851653,6.299999999999998e-68,-14.8319,-16.5012,-13.1627,***
-15_10,1,≤10 °C,≤10 °C,cold,3,20_40,3,20–40,20–40,-0.118577,0.00663079,1.6099999999999998e-71,-11.8577,-13.1573,-10.558,***
-15_10,1,≤10 °C,≤10 °C,cold,3,40_60,4,40–60,40–60,-0.13664,0.00817592,1.0599999999999999e-62,-13.664,-15.2664,-12.0615,***
-15_10,1,≤10 °C,≤10 °C,cold,3,60_80,5,60–80,60–80,-0.100053,0.00864999,6.07e-31,-10.0053,-11.7007,-8.30988,***
-15_10,1,≤10 °C,≤10 °C,cold,3,80_130,6,80+,80+,-0.0751486,0.0154405,1.13e-6,-7.51486,-10.5412,-4.48852,***
-15_10,1,≤10 °C,≤10 °C,cold,4,0_12,1,0–12,0–12,-0.197167,0.0114433,1.5899999999999996e-66,-19.7167,-21.9596,-17.4738,***
-15_10,1,≤10 °C,≤10 °C,cold,4,12_20,2,12–20,12–20,-0.155268,0.0106799,6.93e-48,-15.5268,-17.6201,-13.4336,***
-15_10,1,≤10 °C,≤10 °C,cold,4,20_40,3,20–40,20–40,-0.126766,0.00819704,5.989999999999999e-54,-12.6766,-14.2832,-11.07,***
-15_10,1,≤10 °C,≤10 °C,cold,4,40_60,4,40–60,40–60,-0.143554,0.00817375,4.739999999999999e-69,-14.3554,-15.9575,-12.7534,***
-15_10,1,≤10 °C,≤10 °C,cold,4,60_80,5,60–80,60–80,-0.103452,0.00921126,2.87e-29,-10.3452,-12.1506,-8.53982,***
-15_10,1,≤10 °C,≤10 °C,cold,4,80_130,6,80+,80+,-0.0519007,0.0156011,8.79e-4,-5.19007,-8.24789,-2.13225,***
-15_10,1,≤10 °C,≤10 °C,cold,5,0_12,1,0–12,0–12,-0.198514,0.0109632,2.7899999999999996e-73,-19.8514,-22.0002,-17.7027,***
