bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,group_order,group_label_en,group_label_es,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,0,female,1,Women,Mujeres,-0.0805925,0.00552412,3.2899999999999995e-48,-8.05925,-9.14198,-6.97652,***
-15_10,1,≤10 °C,≤10 °C,cold,0,male,2,Men,Hombres,-0.110495,0.0053874,1.7599999999999998e-93,-11.0495,-12.1054,-9.99357,***
-15_10,1,≤10 °C,≤10 °C,cold,1,female,1,Women,Mujeres,-0.10378,0.0067352,1.43e-53,-10.378,-11.6981,-9.05789,***
-15_10,1,≤10 °C,≤10 °C,cold,1,male,2,Men,Hombres,-0.146766,0.00596141,7.839999999999997e-134,-14.6766,-15.845,-13.5082,***
-15_10,1,≤10 °C,≤10 °C,cold,2,female,1,Women,Mujeres,-0.10776,0.00660183,6.8e-60,-10.776,-12.07,-9.48204,***
-15_10,1,≤10 °C,≤10 °C,cold,2,male,2,Men,Hombres,-0.150127,0.00654856,2.5999999999999995e-116,-15.0127,-16.2962,-13.7292,***
-15_10,1,≤10 °C,≤10 °C,cold,3,female,1,Women,Mujeres,-0.125078,0.00642422,1.9799999999999997e-84,-12.5078,-13.7669,-11.2486,***
-15_10,1,≤10 °C,≤10 °C,cold,3,male,2,Men,Hombres,-0.163864,0.00782326,2.0499999999999997e-97,-16.3864,-17.9197,-14.853,***
-15_10,1,≤10 °C,≤10 °C,cold,4,female,1,Women,Mujeres,-0.131876,0.00811474,2.18e-59,-13.1876,-14.7781,-11.5971,***
-15_10,1,≤10 °C,≤10 °C,cold,4,male,2,Men,Hombres,-0.173537,0.00775108,5.059999999999999e-111,-17.3537,-18.8729,-15.8345,***
-15_10,1,≤10 °C,≤10 °C,cold,5,female,1,Women,Mujeres,-0.134379,0.00805945,2.0399999999999997e-62,-13.4379,-15.0176,-11.8583,***
-15_10,1,≤10 °C,≤10 °C,cold,5,male,2,Men,Hombres,-0.174942,0.00792712,6.309999999999999e-108,-17.4942,-19.0479,-15.9405,***
-15_10,1,≤10 °C,≤10 °C,cold,6,female,1,Women,Mujeres,-0.141241,0.00808514,2.4599999999999996e-68,-14.1241,-15.7088,-12.5394,***
-15_10,1,≤10 °C,≤10 °C,cold,6,male,2,Men,Hombres,-0.182014,0.00911497,1.0299999999999998e-88,-18.2014,-19.988,-16.4149,***
-15_10,1,≤10 °C,≤10 °C,cold,7,female,1,Women,Mujeres,-0.136716,0.0087411,3.849999999999999e-55,-13.6716,-15.3848,-11.9583,***
-15_10,1,≤10 °C,≤10 °C,cold,7,male,2,Men,Hombres,-0.172681,0.00986964,1.5299999999999997e-68,-17.2681,-19.2025,-15.3336,***
-15_10,1,≤10 °C,≤10 °C,cold,8,female,1,Women,Mujeres,-0.139733,0.0103357,1.2e-41,-13.9733,-15.9991,-11.9475,***
-15_10,1,≤10 °C,≤10 °C,cold,8,male,2,Men,Hombres,-0.16593,0.0115338,6.29e-47,-16.593,-18.8537,-14.3324,***
-15_10,1,≤10 °C,≤10 °C,cold,9,female,1,Women,Mujeres,-0.137892,0.011198,7.62e-35,-13.7892,-15.984,-11.5944,***
-15_10,1,≤10 °C,≤10 °C,cold,9,male,2,Men,Hombres,-0.167461,0.0122106,8.33e-43,-16.7461,-19.1393,-14.3528,***
-15_10,1,≤10 °C,≤10 °C,cold,10,female,1,Women,Mujeres,-0.134881,0.0124226,1.83e-27,-13.4881,-15.9229,-11.0533,***
-15_10,1,≤10 °C,≤10 °C,cold,10,male,2,Men,Hombres,-0.158314,0.0129497,2.28e-34,-15.8314,-18.3695,-13.2932,***
-15_10,1,≤10 °C,≤10 °C,cold,11,female,1,Women,Mujeres,-0.133925,0.0135443,4.6999999999999995e-23,-13.3925,-16.0472,-10.7378,***
-15_10,1,≤10 °C,≤10 °C,cold,11,male,2,Men,Hombres,-0.154594,0.0144765,1.2800000000000001e-26,-15.4594,-18.2968,-12.622,***
-15_10,1,≤10 °C,≤10 °C,cold,12,female,1,Women,Mujeres,-0.127384,0.0143324,6.23e-19,-12.7384,-15.5475,-9.92922,***
-15_10,1,≤10 °C,≤10 °C,cold,12,male,2,Men,Hombres,-0.148669,0.0150196,4.2299999999999997e-23,-14.8669,-17.8107,-11.923,***
-15_10,1,≤10 °C,≤10 °C,cold,13,female,1,Women,Mujeres,-0.131558,0.015036,2.14e-18,-13.1558,-16.1029,-10.2087,***
-15_10,1,≤10 °C,≤10 °C,cold,13,male,2,Men,Hombres,-0.149498,0.0159804,8.360000000000001e-21,-14.9498,-18.0819,-11.8176,***
-15_10,1,≤10 °C,≤10 °C,cold,14,female,1,Women,Mujeres,-0.137786,0.0160599,9.53e-18,-13.7786,-16.9264,-10.6309,***
-15_10,1,≤10 °C,≤10 °C,cold,14,male,2,Men,Hombres,-0.153235,0.016316399999999998,5.920000000000001e-21,-15.3235,-18.5215,-12.1255,***
-15_10,1,≤10 °C,≤10 °C,cold,15,female,1,Women,Mujeres,-0.146691,0.0170683,8.38e-18,-14.6691,-18.0145,-11.3237,***
-15_10,1,≤10 °C,≤10 °C,cold,15,male,2,Men,Hombres,-0.16055,0.0175093,4.76e-20,-16.055,-19.4868,-12.6232,***
-15_10,1,≤10 °C,≤10 °C,cold,16,female,1,Women,Mujeres,-0.148012,0.0153998,7.1700000000000005e-22,-14.8012,-17.8195,-11.7828,***
-15_10,1,≤10 °C,≤10 °C,cold,16,male,2,Men,Hombres,-0.156407,0.0168091,1.34e-20,-15.6407,-18.9353,-12.3461,***
-15_10,1,≤10 °C,≤10 °C,cold,17,female,1,Women,Mujeres,-0.146859,0.0166697,1.25e-18,-14.6859,-17.9532,-11.4187,***
-15_10,1,≤10 °C,≤10 °C,cold,17,male,2,Men,Hombres,-0.154885,0.0177185,2.3e-18,-15.4885,-18.9613,-12.0156,***
-15_10,1,≤10 °C,≤10 °C,cold,18,female,1,Women,Mujeres,-0.154066,0.0185491,9.91e-17,-15.4066,-19.0422,-11.771,***
-15_10,1,≤10 °C,≤10 °C,cold,18,male,2,Men,Hombres,-0.157666,0.0184065,1.07e-17,-15.7666,-19.3742,-12.1589,***
-15_10,1,≤10 °C,≤10 °C,cold,19,female,1,Women,Mujeres,-0.145813,0.018719,6.72e-15,-14.5813,-18.2502,-10.9124,***
-15_10,1,≤10 °C,≤10 °C,cold,19,male,2,Men,Hombres,-0.154177,0.0179955,1.06e-17,-15.4177,-18.9448,-11.8906,***
-15_10,1,≤10 °C,≤10 °C,cold,20,female,1,Women,Mujeres,-0.143725,0.018172,2.59e-15,-14.3725,-17.9342,-10.8108,***
-15_10,1,≤10 °C,≤10 °C,cold,20,male,2,Men,Hombres,-0.150578,0.0181432,1.05e-16,-15.0578,-18.6138,-11.5017,***
-15_10,1,≤10 °C,≤10 °C,cold,21,female,1,Women,Mujeres,-0.149812,0.0175043,1.14e-17,-14.9812,-18.4121,-11.5504,***
-15_10,1,≤10 °C,≤10 °C,cold,21,male,2,Men,Hombres,-0.156699,0.0185135,2.58e-17,-15.6699,-19.2985,-12.0412,***
-15_10,1,≤10 °C,≤10 °C,cold,22,female,1,Women,Mujeres,-0.151653,0.0178975,2.38e-17,-15.1653,-18.6732,-11.6574,***
-15_10,1,≤10 °C,≤10 °C,cold,22,male,2,Men,Hombres,-0.14549,0.0184931,3.62e-15,-14.549,-18.1736,-10.9243,***
-15_10,1,≤10 °C,≤10 °C,cold,23,female,1,Women,Mujeres,-0.158044,0.0188842,5.8e-17,-15.8044,-19.5057,-12.1031,***
-15_10,1,≤10 °C,≤10 °C,cold,23,male,2,Men,Hombres,-0.149772,0.0185361,6.48e-16,-14.9772,-18.6103,-11.3441,***
-15_10,1,≤10 °C,≤10 °C,cold,24,female,1,Women,Mujeres,-0.152182,0.0180583,3.54e-17,-15.2182,-18.7576,-11.6788,***
-15_10,1,≤10 °C,≤10 °C,cold,24,male,2,Men,Hombres,-0.144028,0.0188797,2.37e-14,-14.4028,-18.1032,-10.7023,***
-15_10,1,≤10 °C,≤10 °C,cold,25,female,1,Women,Mujeres,-0.156757,0.0186751,4.7e-17,-15.6757,-19.336,-12.0154,***
-15_10,1,≤10 °C,≤10 °C,cold,25,male,2,Men,Hombres,-0.145809,0.0193363,4.67e-14,-14.5809,-18.3708,-10.791,***
-15_10,1,≤10 °C,≤10 °C,cold,26,female,1,Women,Mujeres,-0.167757,0.0194804,7.2e-18,-16.7757,-20.5939,-12.9576,***
-15_10,1,≤10 °C,≤10 °C,cold,26,male,2,Men,Hombres,-0.151174,0.0200418,4.59e-14,-15.1174,-19.0456,-11.1892,***
-15_10,1,≤10 °C,≤10 °C,cold,27,female,1,Women,Mujeres,-0.166726,0.019597,1.77e-17,-16.6726,-20.5136,-12.8316,***
-15_10,1,≤10 °C,≤10 °C,cold,27,male,2,Men,Hombres,-0.15364,0.0190893,8.38e-16,-15.364,-19.1055,-11.6225,***
-15_10,1,≤10 °C,≤10 °C,cold,28,female,1,Women,Mujeres,-0.174327,0.0209865,9.84e-17,-17.4327,-21.5461,-13.3194,***
-15_10,1,≤10 °C,≤10 °C,cold,28,male,2,Men,Hombres,-0.155868,0.0195134,1.37e-15,-15.5868,-19.4115,-11.7622,***
-15_10,1,≤10 °C,≤10 °C,cold,29,female,1,Women,Mujeres,-0.181313,0.0205158,9.77e-19,-18.1313,-22.1524,-14.1103,***
-15_10,1,≤10 °C,≤10 °C,cold,29,male,2,Men,Hombres,-0.156635,0.0194402,7.8e-16,-15.6635,-19.4738,-11.8532,***
-15_10,1,≤10 °C,≤10 °C,cold,30,female,1,Women,Mujeres,-0.168273,0.0211978,2.05e-15,-16.8273,-20.982,-12.6725,***
-15_10,1,≤10 °C,≤10 °C,cold,30,male,2,Men,Hombres,-0.145642,0.0199544,2.9e-13,-14.5642,-18.4753,-10.6531,***
10_15,2,10–15 °C,10–15 °C,cold,0,female,1,Women,Mujeres,-0.0493597,0.00236933,2.1899999999999994e-96,-4.93597,-5.40036,-4.47158,***
