bin,bin_order,bin_label_en,bin_label_es,side,horizon,chapter,chapter_label_paper,chapter_label_en,chapter_label_es,baseline_mean,nobs,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,0,blood_and_inmune,Blood and Immune,Blood and immune,Sangre e inmunidad,0.215,1976283,-0.0868576,0.027813,0.00179,-8.68576,-14.1371,-3.23442,***
-15_10,1,≤10 °C,≤10 °C,cold,0,circulatory,Circulatory,Circulatory,Circulatorias,1.744,2511929,-0.0589657,0.00857185,6.03e-12,-5.89657,-7.57665,-4.21649,***
-15_10,1,≤10 °C,≤10 °C,cold,0,digestive,Digestive,Digestive,Digestivas,3.969,2554873,-0.0708417,0.00710389,2.0199999999999997e-23,-7.08417,-8.47653,-5.69181,***
-15_10,1,≤10 °C,≤10 °C,cold,0,endocrine_metabolic,Endoc./Metabolic,Endocrine and metabolic,Endocrinas y metabólicas,1.581,2501785,-0.145715,0.0100443,1.0899999999999999e-47,-14.5715,-16.5402,-12.6028,***
-15_10,1,≤10 °C,≤10 °C,cold,0,external_causes,External Causes,External causes,Causas externas,8.052,2595686,-0.140415,0.00713939,4.089999999999999e-86,-14.0415,-15.4408,-12.6422,***
-15_10,1,≤10 °C,≤10 °C,cold,0,eye_ear,Eye and Ear,Eye and ear,Ojos y oídos,0.897,2356368,-0.0601162,0.0117465,3.09e-7,-6.01162,-8.31393,-3.70931,***
-15_10,1,≤10 °C,≤10 °C,cold,0,genitourinary,Genitourinary,Genitourinary,Genitourinarias,3.107,2543332,-0.0865573,0.00856772,5.37e-24,-8.65573,-10.335,-6.97646,***
-15_10,1,≤10 °C,≤10 °C,cold,0,infectious_parasatic,Inf. and Parasitic,Infectious and parasitic,Infecciosas y parasitarias,3.954,2533607,-0.169932,0.00893256,1.0799999999999998e-80,-16.9932,-18.744,-15.2424,***
-15_10,1,≤10 °C,≤10 °C,cold,0,mental,Mental,Mental health,Salud mental,0.705,2397262,-0.140384,0.017536,1.19e-15,-14.0384,-17.4754,-10.6013,***
-15_10,1,≤10 °C,≤10 °C,cold,0,neoplasms,Neoplasms,Neoplasms,Neoplasias,0.275,2012485,-0.0606114,0.0171662,4.14e-4,-6.06114,-9.42571,-2.69657,***
-15_10,1,≤10 °C,≤10 °C,cold,0,nervous_system,Nervous System,Nervous system,Sistema nervioso,0.608,2364478,-0.125539,0.0132123,2.0600000000000002e-21,-12.5539,-15.1436,-9.96434,***
-15_10,1,≤10 °C,≤10 °C,cold,0,obstetric,Obstetric,Obstetric,Obstétricas,4.641,2528395,-0.0469244,0.00982006,1.77e-6,-4.69244,-6.61717,-2.76771,***
-15_10,1,≤10 °C,≤10 °C,cold,0,other,Other,Other,Otras,10.707,2594995,-0.0740252,0.0078005,2.3100000000000003e-21,-7.40252,-8.93141,-5.87362,***
-15_10,1,≤10 °C,≤10 °C,cold,0,respiratory,Respiratory,Respiratory,Respiratorias,9.15,2550299,-0.0732205,0.00551716,3.39e-40,-7.32205,-8.40342,-6.24069,***
-15_10,1,≤10 °C,≤10 °C,cold,0,skin_muscoloskeletal,Skin/Musc.,Skin and musculoskeletal,Piel y musculoesqueléticas,2.449,2498247,-0.109739,0.0078348,1.4200000000000001e-44,-10.9739,-12.5095,-9.43828,***
-15_10,1,≤10 °C,≤10 °C,cold,30,blood_and_inmune,Blood and Immune,Blood and immune,Sangre e inmunidad,0.215,1976283,-0.363681,0.120178,0.00248,-36.3681,-59.9229,-12.8133,***
-15_10,1,≤10 °C,≤10 °C,cold,30,circulatory,Circulatory,Circulatory,Circulatorias,1.744,2511929,0.0247048,0.0362538,0.496,2.47048,-4.63526,9.57623,
-15_10,1,≤10 °C,≤10 °C,cold,30,digestive,Digestive,Digestive,Digestivas,3.969,2554873,-0.296073,0.0306713,4.77e-22,-29.6073,-35.6189,-23.5957,***
-15_10,1,≤10 °C,≤10 °C,cold,30,endocrine_metabolic,Endoc./Metabolic,Endocrine and metabolic,Endocrinas y metabólicas,1.581,2501785,-0.11188,0.0402058,0.00539,-11.188,-19.0683,-3.30763,***
-15_10,1,≤10 °C,≤10 °C,cold,30,external_causes,External Causes,External causes,Causas externas,8.052,2595686,-0.348449,0.0233373,2.07e-50,-34.8449,-39.419,-30.2708,***
-15_10,1,≤10 °C,≤10 °C,cold,30,eye_ear,Eye and Ear,Eye and ear,Ojos y oídos,0.897,2356368,0.021647,0.0600541,0.719,2.1647,-9.60591,13.9353,
-15_10,1,≤10 °C,≤10 °C,cold,30,genitourinary,Genitourinary,Genitourinary,Genitourinarias,3.107,2543332,-0.2956,0.0348572,2.25e-17,-29.56,-36.392,-22.7279,***
-15_10,1,≤10 °C,≤10 °C,cold,30,infectious_parasatic,Inf. and Parasitic,Infectious and parasitic,Infecciosas y parasitarias,3.954,2533607,-0.825267,0.0501764,8.77e-61,-82.5267,-92.3612,-72.6921,***
-15_10,1,≤10 °C,≤10 °C,cold,30,mental,Mental,Mental health,Salud mental,0.705,2397262,-0.24888,0.06269,7.19e-5,-24.888,-37.1752,-12.6007,***
-15_10,1,≤10 °C,≤10 °C,cold,30,neoplasms,Neoplasms,Neoplasms,Neoplasias,0.275,2012485,-0.322249,0.0720875,7.81e-6,-32.2249,-46.354,-18.0957,***
-15_10,1,≤10 °C,≤10 °C,cold,30,nervous_system,Nervous System,Nervous system,Sistema nervioso,0.608,2364478,-0.200111,0.0623396,0.00133,-20.0111,-32.2297,-7.79259,***
-15_10,1,≤10 °C,≤10 °C,cold,30,obstetric,Obstetric,Obstetric,Obstétricas,4.641,2528395,-0.130059,0.0448688,0.00375,-13.0059,-21.8002,-4.21161,***
-15_10,1,≤10 °C,≤10 °C,cold,30,other,Other,Other,Otras,10.707,2594995,-0.211924,0.0285573,1.16e-13,-21.1924,-26.7897,-15.5952,***
