agem,eds,pop,eds_per_100k
01001,7,862028.8794515803,0.81
01003,1,55446.32123733616,1.8
01006,1,43675.91490747266,2.29
01007,1,52449.41002388654,1.91
02001,4,449133.0760091473,0.89
02002,5,980073.537430667,0.51
02003,1,98645.3983836607,1.01
02004,3,1708614.6998105126,0.18
02005,1,106920.7263427363,0.94
03001,2,71108.856541661,2.81
03002,1,60323.065016818044,1.66
03003,1,267310.81015320856,0.37
03008,3,288229.4284892414,1.04
03009,1,17352.66498256375,5.76
04001,1,55744.20835723848,1.79
04002,3,272930.7809526573,1.1
04003,3,232565.17515272877,1.29
04004,1,80068.97645277441,1.25
04005,1,29010.455559805683,3.45
04006,2,40373.775009041674,4.95
04007,2,9150.078141379154,21.86
04009,1,56123.12331149741,1.78
04010,2,28731.734147358962,6.96
04011,1,43349.68286469545,2.31
05002,1,147762.2310213104,0.68
05003,1,22585.440607269684,4.43
05007,1,12429.049890599956,8.05
05009,1,57549.43819650592,1.74
05011,1,12151.855508989565,8.23
05017,1,112174.41510747562,0.89
05018,1,225871.02231116762,0.44
05020,1,69626.44352626883,1.44
05024,1,44754.444185741486,2.23
05025,2,162080.08598966914,1.23
05028,1,61716.29307521073,1.62
05030,3,792191.7061028422,0.38
05031,1,23014.642930704573,4.35
05032,1,41777.82412878631,2.39
05033,1,101087.54374152052,0.99
05035,2,673545.6803318632,0.3
05038,1,13360.800108270334,7.48
06002,1,148968.3360780828,0.67
06006,1,5821.750424030589,17.18
06007,1,173751.13479308164,0.58
06009,1,113645.39672275462,0.88
06010,1,132979.66700046355,0.75
07001,1,17617.32768255384,5.68
07002,1,25350.024678811602,3.94
07004,1,33139.691943559876,3.02
07005,1,22770.710118172105,4.39
07008,1,28767.11494927558,3.48
07009,1,40521.78756081116,2.47
07012,1,52792.933580946454,1.89
07017,1,80724.19203089748,1.24
07019,2,151491.25090074862,1.32
07021,1,21409.06386057899,4.67
07022,1,17677.658857805705,5.66
07023,1,88084.36959929252,1.14
07027,1,98853.51172764503,1.01
07034,1,73571.86593622457,1.36
07040,2,51898.59414051952,3.85
07049,1,24786.141365671654,4.03
07052,2,124746.9029021935,1.6
07059,2,213275.18678765846,0.94
07062,1,17710.17903328651,5.65
07064,2,47955.890505220785,4.17
07065,1,120370.8246447847,0.83
07068,1,30281.956042729995,3.3
07069,1,50450.471411080645,1.98
07070,1,13570.623053617626,7.37
07074,1,41797.393100895424,2.39
07075,1,27518.378000431883,3.63
07077,1,59197.64903492084,1.69
07078,3,198551.9287071566,1.51
07081,1,46579.14403026843,2.15
07089,2,332955.6466529684,0.6
07091,1,12491.832736430011,8.01
07094,1,43716.691793663216,2.29
07096,1,77920.69409690982,1.28
07097,1,87582.29674283678,1.14
07101,3,573158.2164844765,0.52
07107,1,69838.77209870204,1.43
07108,1,103599.06197823018,0.97
07109,3,36856.90854598611,8.14
07114,1,19330.24207293579,5.17
08002,1,23094.767281921617,4.33
08003,2,8297.75474499759,24.1
08009,1,25884.630634552464,3.86
08011,1,49063.09668080372,2.04
08017,2,165557.18905478402,1.21
08019,3,869707.2836832803,0.34
08021,1,142978.5854612672,0.7
08025,1,7820.142652308282,12.79
08027,2,48834.59077865339,4.1
08029,1,51116.4011988012,1.96
08032,2,111000.21076103915,1.8
08036,3,41272.80670097545,7.27
08037,3,1408896.055198247,0.21
08040,2,27711.85327430438,7.22
08050,1,61603.16209610993,1.62
08052,1,25844.23496205686,3.87
09002,2,422486.38719214575,0.47
09003,2,615882.8835196721,0.32
09004,2,200274.02391897843,1
09005,8,1167918.369336669,0.68
09006,1,393432.10339686606,0.25
09007,9,1805370.0696126136,0.5
09008,1,241919.96404910428,0.41
09009,1,139590.1667132663,0.72
09010,1,739118.5478361527,0.14
09011,2,373625.11748382985,0.54
09012,8,667060.2473035024,1.2
09013,5,420932.43700612953,1.19
09014,1,405582.1710021395,0.25
09015,4,532853.8395756752,0.75
09016,2,390162.88249949826,0.51
09017,4,436467.63339726545,0.92
10001,2,31309.30725686457,6.39
10004,1,34391.91401220131,2.91
10005,3,626508.4422692654,0.48
10006,1,10893.093746206498,9.18
10007,2,345520.8140214549,0.58
10008,1,34438.205944671,2.9
10012,1,151302.43713481002,0.66
10013,1,25846.449926051075,3.87
10014,7,39576.35723715311,17.69
10015,1,12444.08317207361,8.04
10017,1,8359.340426146278,11.96
10018,1,10581.66381881426,9.45
10020,1,12411.969297513491,8.06
10021,1,11098.300002314392,9.01
10022,1,25272.659999194704,3.96
10023,3,49083.10875000529,6.11
10024,1,12447.363573026025,8.03
10028,1,11830.90075987842,8.45
10032,1,46872.99627126631,2.13
10033,4,6476.44621387253,61.76
10034,6,26264.40769272723,22.84
10038,1,21892.749023408203,4.57
10039,1,26892.989265462285,3.72
11001,1,88637.17821893623,1.13
11002,1,108986.46179624248,0.92
11003,1,164835.67315412927,0.61
11004,1,64071.616914456936,1.56
11005,1,99779.38485629835,1
11007,2,490665.54657167767,0.41
11008,1,39077.857915241446,2.56
11009,2,79359.39374761647,2.52
11010,1,11438.695652606,8.74
11011,1,91888.46037406546,1.09
11012,2,28957.754380709994,6.91
11014,1,154167.05246312267,0.65
11015,1,181229.23317650752,0.55
11016,1,20427.67084016074,4.9
11017,2,552962.9503203529,0.36
11018,1,38116.86741690844,2.62
11019,1,50561.197453963876,1.98
11020,6,1559331.4061937863,0.38
11021,1,48656.14443525441,2.06
11022,1,24152.97927413535,4.14
11023,3,150902.8322127865,1.99
11024,1,11836.987036597939,8.45
11025,2,75067.74655831541,2.66
11026,1,60371.141693504804,1.66
11027,2,264608.326832284,0.76
11028,2,94837.53493386524,2.11
11029,1,39262.037868981846,2.55
11030,1,112092.923314442,0.89
11031,1,121935.63706653313,0.82
11032,1,80748.3812635816,1.24
11033,2,121216.20911476504,1.65
11034,1,5370.293784179749,18.62
11035,1,80742.42590704288,1.24
11037,1,186003.68688403207,0.54
11038,2,10900.225557290465,18.35
11039,1,35247.38783942024,2.84
11040,1,18939.947452068616,5.28
11041,1,60878.06367233974,1.64
11042,1,142983.9878495835,0.7
11044,1,59255.54856504766,1.69
11046,1,69940.97935484353,1.43
12001,5,779880.5988216031,0.64
12004,1,19860.794916776435,5.04
12007,2,32489.604271535667,6.16
12011,1,61359.90792831588,1.63
12012,1,64728.284847253664,1.54
12016,1,13112.012474926147,7.63
12018,1,14488.629212757894,6.9
12021,1,73109.61723569612,1.37
12022,2,38931.310330714434,5.14
12026,1,8568.730610823119,11.67
12028,1,121702.93828881714,0.82
12029,6,257811.03119899108,2.33
12032,8,36838.257853967196,21.72
12033,1,15423.604658014334,6.48
12034,1,36642.5527644118,2.73
12035,1,145838.1164797666,0.69
12038,1,121379.38671192249,0.82
12040,4,25906.62841656686,15.44
12046,1,64854.21341723856,1.54
12048,1,44731.544242087475,2.24
12051,2,34816.63602301286,5.74
12052,1,44227.261985906596,2.26
12053,2,48957.87099481774,4.09
12055,3,105120.15079732855,2.85
12057,1,63262.93774822928,1.58
12058,1,53646.958370300796,1.86
12059,2,29930.65984975457,6.68
12061,3,41274.02755828043,7.27
12066,2,87177.88075648405,2.29
12068,1,25324.391859801886,3.95
12072,1,11160.941429055321,8.96
12075,2,49107.4514023219,4.07
13003,1,57739.03653857717,1.73
13008,1,44283.856580041174,2.26
13011,1,19315.44159211467,5.18
13027,1,23492.366351928405,4.26
13028,1,124179.14735584191,0.81
13029,1,45599.6789406659,2.19
13030,1,91542.26869552264,1.09
13031,1,12452.826139927989,8.03
13041,1,44974.78933543418,2.22
13048,3,287489.6264300382,1.04
13053,1,17797.076305131588,5.62
13073,1,36251.06371400041,2.76
13076,1,108289.46210674534,0.92
13077,2,158951.66693926082,1.26
13084,1,39158.28160063895,2.55
14006,2,58681.19591092066,3.41
14013,2,60331.56488264784,3.32
14015,1,60809.501189832496,1.64
14017,1,12969.530901736156,7.71
14018,2,66133.34788529432,3.02
14022,2,38828.238483309586,5.15
14023,1,105101.15493543845,0.95
14024,1,28054.470395759956,3.56
14025,1,19295.713661801485,5.18
14032,1,5881.468122435978,17
14035,1,51949.00003985467,1.92
14037,2,24015.612180914977,8.33
14039,4,1441422.352513493,0.28
14042,2,9352.1104867592,21.39
14043,1,22782.88239778849,4.39
14050,1,44681.31222324266,2.24
14053,2,161001.412856874,1.24
14055,1,22124.65274594531,4.52
14058,1,13678.184831435921,7.31
14059,1,13694.593144562034,7.3
14063,1,98976.59010251162,1.01
14064,2,32228.927702923927,6.21
14065,1,11849.581127348487,8.44
14067,1,269625.87305227085,0.37
14073,1,68883.79097777074,1.45
14078,1,32045.61869138577,3.12
14082,1,34704.59190747477,2.88
14083,1,77274.21521477781,1.29
14085,2,37738.552223019884,5.3
14090,1,6997.859013193655,14.29
14091,1,40516.8669851311,2.47
14093,1,141849.2536683483,0.7
14098,1,641810.8713515656,0.16
14100,1,36010.84693673455,2.78
14108,1,36491.698429936936,2.74
14110,1,13387.732605111294,7.47
14118,1,22122.004932413,4.52
14120,4,1342754.2566344321,0.3
14124,1,64458.093013351594,1.55
15001,1,63687.98863765725,1.57
15002,2,146742.27566344888,1.36
15009,2,51378.13039973829,3.89
15012,1,11876.192141304615,8.42
15013,2,504802.64969991846,0.4
15014,1,100928.41570267017,0.99
15021,1,37423.09288205904,2.67
15024,2,155659.97340557873,1.28
15025,2,347120.556289564,0.58
15030,1,25646.349610064888,3.9
15031,3,654241.8924889881,0.46
15033,3,1648577.3479080468,0.18
15035,2,128257.12036496488,1.56
15036,1,42512.48404314891,2.35
15037,1,261252.08172498958,0.38
15039,3,499027.137552441,0.6
15040,1,35407.633010879574,2.82
15042,1,149550.94336250136,0.67
15043,1,28579.772740380537,3.5
15045,1,84693.65515743144,1.18
15047,1,72232.51548494634,1.38
15051,1,150548.4916512639,0.66
15052,1,27188.41383346706,3.68
15057,3,831894.2852222202,0.36
15058,3,1092872.105227085,0.27
15060,1,393787.90626958036,0.25
15064,1,34597.31455583142,2.89
15065,1,34354.7691330994,2.91
15067,1,83653.62338602445,1.2
15070,1,276618.2184532245,0.36
15074,1,132901.35749602065,0.75
15080,1,24442.760230757583,4.09
15081,1,446591.4295601873,0.22
15082,1,76062.10942737914,1.31
15086,1,33535.71041311672,2.98
15087,1,97444.0372166769,1.03
15088,1,95778.43425823367,1.04
15090,1,82283.94682708009,1.22
15092,1,55076.71108780312,1.82
15094,1,19099.84437659601,5.24
15097,1,17286.68068877523,5.78
15099,2,249257.98621374957,0.8
15104,2,662807.7701393272,0.3
15105,1,33171.77637011597,3.01
15106,3,858591.5604013363,0.35
15109,1,504886.4777430181,0.2
15110,1,60863.15851040097,1.64
15112,1,46864.06237832773,2.13
15113,1,64787.10519441337,1.54
15114,1,100629.358143303,0.99
15115,1,49957.24094012283,2
15117,1,14772.62877433972,6.77
15120,2,214386.0260891944,0.93
15122,1,372751.8373102174,0.27
16006,2,124441.20989337505,1.61
16008,1,23321.66194515666,4.29
16009,1,35789.56761317524,2.79
16010,1,21530.918165435265,4.64
16012,1,44068.85631201437,2.27
16013,1,9002.850761105934,11.11
16014,1,15217.50212913165,6.57
16015,1,18790.6580220078,5.32
16024,1,19087.80256416756,5.24
16034,1,121212.6926182087,0.82
16035,1,31631.259902273385,3.16
16038,1,42027.94324583951,2.38
16045,1,35415.03115955811,2.82
16050,1,84443.84126748185,1.18
16052,1,186482.77597162355,0.54
16053,6,779169.2649721798,0.77
16055,1,46119.97057168056,2.17
16065,1,36608.774707550925,2.73
16066,2,91466.49970383453,2.19
16069,1,102178.59250170432,0.98
16071,1,69045.88030729227,1.45
16075,1,69941.16374120746,1.43
16076,1,74652.54234363901,1.34
16082,1,73967.06767049176,1.35
16098,1,25918.812289112968,3.86
16099,1,15092.127729431752,6.63
16102,1,331442.728363541,0.3
16104,1,16798.72243102759,5.95
16107,1,75051.09108496798,1.33
16108,1,193088.48666121383,0.52
16112,1,155179.955147297,0.64
17003,2,36043.44426021168,5.55
17006,1,179176.54396797123,0.56
17007,2,369345.41785200103,0.54
17008,1,93940.14271936247,1.06
17012,2,55680.55267860276,3.59
17013,1,15731.220592233583,6.36
17015,1,19856.08219361161,5.04
17016,1,17887.1040056895,5.59
17017,1,51650.92653484576,1.94
17018,1,114656.78013053897,0.87
17029,1,100572.44988570403,0.99
18001,1,36326.23520695415,2.75
18003,2,11318.739393349108,17.67
18004,1,73738.89146683362,1.36
18005,1,12327.6190527768,8.11
18006,1,27668.867580841812,3.61
18008,4,55432.828755530565,7.22
18009,5,39527.311231989144,12.65
18010,1,34272.06233967488,2.92
18012,10,41263.750993620815,24.23
18014,2,23107.888165118467,8.66
18015,3,93333.91235945937,3.21
18016,2,38094.08362092206,5.25
18017,10,396424.0676634864,2.52
18018,1,29760.844091991352,3.36
18019,5,12909.909455160094,38.73
18020,2,152535.55390145318,1.31
19011,1,7120.361213285753,14.04
19014,1,35642.516458699385,2.81
19017,2,40695.179030974716,4.91
19021,1,412704.84177367133,0.24
19026,1,659705.6836833087,0.15
19031,1,352995.17725392996,0.28
19033,1,81237.1408096199,1.23
19038,2,62830.660542487036,3.18
19039,2,1132412.6313421302,0.18
19041,1,80213.07757792859,1.25
19044,2,34056.25344685599,5.87
19046,1,429332.6462231446,0.23
19049,1,42704.67112774469,2.34
20006,1,18832.371994419096,5.31
20014,1,26581.2201102265,3.76
20026,1,8264.9762908568,12.1
20031,1,7187.61176076705,13.91
20039,2,73087.87422563172,2.74
20041,1,30275.772703691848,3.3
20042,1,7921.594134537215,12.62
20043,2,101706.52849395697,1.97
20044,1,40135.243925047,2.49
20059,1,43802.031009097416,2.28
20064,1,7806.76591006241,12.81
20067,2,265334.03857676056,0.75
20073,1,32705.31302158436,3.06
20079,1,83119.72853661932,1.2
20156,1,3537.8310235626473,28.27
20177,1,9962.949604277757,10.04
20184,1,156693.99658113634,0.64
20190,1,22339.928766061017,4.48
20277,1,13217.172394247928,7.57
20278,1,37665.6396825976,2.65
20307,1,9496.59124279918,10.53
20318,1,45223.263498018016,2.21
20324,1,44995.15793322223,2.22
20327,1,15167.60402819906,6.59
20334,1,47273.81302775533,2.12
20364,1,15722.86708809882,6.36
20386,1,18343.82377879647,5.45
20413,1,43513.10593053151,2.3
20469,1,33433.02750977302,2.99
20482,1,52367.01633628263,1.91
20484,1,4318.32683071875,23.16
20515,1,64499.10267884763,1.55
20516,1,4878.046644849946,20.5
