hid,agem_mode,mode_share,clues_ent,mode_ent
ASDIF000011,01001,1,01,01
ASIMS000016,14006,1,01,14
ASSSA000025,01001,0.8111678487577316,01,01
ASSSA000030,01001,0.9787489344766238,01,01
ASSSA000042,01001,0.880585097759476,01,01
ASSSA000054,01001,0.7668186188966843,01,01
ASSSA000404,01003,0.9915902089806455,01,01
ASSSA000614,01006,0.6951432400488594,01,01
ASSSA000655,01007,0.6997942883264975,01,01
ASSSA001274,01001,1,01,01
ASSSA001331,01001,0.8067871903730987,01,01
BCSMP001324,18017,1,02,18
BCSSA000015,02001,0.9993217729222422,02,02
BCSSA000090,02001,0.9996107055961071,02,02
BCSSA000196,02001,1,02,02
BCSSA000266,02001,0.9547018348623854,02,02
BCSSA000440,02002,0.9975932699074868,02,02
BCSSA000662,02002,0.9996015522139838,02,02
BCSSA000703,02002,0.9997282608695652,02,02
BCSSA000761,02002,0.9993336189252225,02,02
BCSSA000855,02003,0.800399084453313,02,02
BCSSA000913,02004,0.997475666240153,02,02
BCSSA001770,02004,0.9598799982089284,02,02
BCSSA017590,02005,0.8912996042862114,02,02
BCSSA017730,02004,0.9971988795518207,02,02
BCSSA018046,02002,0.9959807985485517,02,02
BSSSA000011,03001,0.953804501631983,03,03
BSSSA000192,03002,0.9925160261325645,03,03
BSSSA000595,03008,0.9960123146583882,03,03
BSSSA000624,03008,0.9969360398314822,03,03
BSSSA000933,03009,0.9824037744024264,03,03
BSSSA001131,03008,0.9983631642647302,03,03
BSSSA001213,03003,0.9957947611424329,03,03
BSSSA001510,03001,0.95078512130767745,03,03
CCIMO000232,04005,0.8300220750551877,04,04
CCSSA000100,04002,0.9865310923094434,04,04
CCSSA000322,04002,0.6259414225941422,04,04
CCSSA000363,04003,0.9939232225856429,04,04
CCSSA000503,04003,0.9985687181706221,04,04
CCSSA000544,04004,0.985660879164994,04,04
CCSSA000766,04006,0.9997951659156084,04,04
CCSSA000865,04007,0.9970128022759601,04,04
CCSSA001116,04010,0.9966967108678212,04,04
CCSSA001220,04011,0.9933954348901749,04,04
CCSSA001594,04006,0.9715854586351758,04,04
CCSSA001710,04007,0.9887640449438202,04,04
CCSSA001734,04003,0.9908415413858649,04,04
CCSSA001961,04010,0.9573643410852714,04,04
CCSSA017403,04001,0.9888130686517783,04,04
CCSSA017670,04002,0.9167332230399148,04,04
CCSSA017682,04009,0.9154259695470376,04,04
CHIMO000043,08003,0.4437869822485207,08,08
CHIMO000224,08009,1,08,08
CHIMO000516,08027,0.8636363636363636,08,08
CHIST000194,08003,0.5,08,08
CHSSA000372,08011,0.9913253871798589,08,08
CHSSA000565,08017,0.6812227074235808,08,08
CHSSA000570,08017,0.9122085410852918,08,08
CHSSA000664,08019,0.9787392011732624,08,08
CHSSA000676,08019,0.9826142537551934,08,08
CHSSA001026,08021,0.8979465938133427,08,08
CHSSA001096,08025,0.7670158095013927,08,08
CHSSA001270,08029,0.9913017594919963,08,08
CHSSA001603,08032,0.7423189823874755,08,08
CHSSA001755,08036,0.9701298530782664,08,08
CHSSA001796,08037,0.9896933422688512,08,08
CHSSA001801,08037,0.9911768857936097,08,08
CHSSA002011,08040,1,08,08
CHSSA002081,08040,0.975517890772128,08,08
CHSSA002390,08050,0.7382471893436237,08,08
CHSSA002455,08052,0.9636751401740566,08,08
CHSSA004415,08036,0.967741935483871,08,08
CHSSA018012,08037,0.9977635782747604,08,08
CHSSA018164,08027,0.8306849315068493,08,08
CHSSA018444,08032,0.9652580148311352,08,08
CHSSA018514,08019,0.9883246110159348,08,08
CHSSA018560,08036,0.9310344827586207,08,08
CHSSA018683,08002,0.9368557951744084,08,08
CLIMO000561,05031,0.6105263157894737,05,05
CLSSA000033,05002,0.979623919958078,05,05
CLSSA000050,05003,0.8458483645072301,05,05
CLSSA000161,05007,0.9459728781248646,05,05
CLSSA000231,05009,0.829832204632705,05,05
CLSSA000354,05011,0.9793956043956044,05,05
CLSSA000470,05017,0.9865644171779141,05,05
CLSSA000815,05024,0.9602241768506266,05,05
CLSSA000914,05025,0.9993089149965446,05,05
CLSSA001042,05028,0.9966782206816869,05,05
CLSSA001136,05030,0.9153679595819187,05,05
CLSSA001141,05030,0.6957218027911233,05,05
CLSSA001404,05032,0.9632480957562568,05,05
CLSSA001421,05033,0.9910857930853334,05,05
CLSSA001614,05035,1,05,05
CLSSA001841,05038,1,05,05
CLSSA002466,05020,0.9753887910798122,05,05
CLSSA002710,05018,0.7014883154184255,05,05
CLSSA002734,05030,0.9777927650548828,05,05
CLSSA002763,05025,0.9930191732726226,05,05
CLSSA002862,05035,0.9537815126050421,05,05
CMSSA000125,06002,0.8613751250875076,06,06
CMSSA000586,06006,0.9711538461538461,06,06
CMSSA001023,06009,0.9117578413393984,06,06
CMSSA001356,06007,0.9421423405566122,06,06
CMSSA001385,06010,0.333422738787066,06,06
CSIMO000170,07004,0.9655172413793104,07,07
CSIMO002125,07001,1,07,07
CSIMO002270,07052,0.7586206896551724,07,07
CSIMO002924,07114,1,07,07
CSIMO003863,07078,0.8333333333333334,07,07
CSSSA000045,07002,0.8361776552893788,07,07
CSSSA000412,07008,0.9210936078137955,07,07
CSSSA000453,07009,0.9114887647679596,07,07
CSSSA000832,07017,0.9778499023242221,07,07
CSSSA001030,07019,0.8379056931724621,07,07
CSSSA001322,07021,0.9132867132867133,07,07
CSSSA002611,07040,0.33765071590052753,07,07
CSSSA003265,07052,0.984820988618746,07,07
CSSSA004496,07064,0.8888888888888888,07,07
CSSSA004595,07065,0.8887047600837078,07,07
CSSSA004945,07068,0.4920089949002128,07,07
CSSSA005645,07077,0.8615553121577217,07,07
CSSSA005773,07078,0.6494751473901165,07,07
CSSSA006403,07089,0.9935249215229756,07,07
CSSSA006934,07096,0.994553004396678,07,07
CSSSA007074,07097,0.9851989587207141,07,07
CSSSA007540,07101,0.9330913300932235,07,07
CSSSA008264,07109,0.5758842957596421,07,07
CSSSA009186,07074,0.8812178108090488,07,07
CSSSA009203,07012,0.8667950807527041,07,07
CSSSA009232,07109,0.49841232506174293,07,07
CSSSA009244,07089,0.6996385771352482,07,07
CSSSA009256,07081,0.8083152042542906,07,07
CSSSA009261,07075,0.8845853331845072,07,07
CSSSA009273,07027,0.8945769406045876,07,07
