bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,fe_name,nobs,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,0,1,(1) agem + date,2761626,-0.0554037,0.00754168,2.04e-13,-5.54037,-7.01854,-4.0622,***
-15_10,1,≤10 °C,≤10 °C,cold,0,2,(2) agem^yday + agem^year + date,2738859,-0.0557608,0.00666459,5.92e-17,-5.57608,-6.88234,-4.26982,***
-15_10,1,≤10 °C,≤10 °C,cold,0,3,(3) agem^week + state^year + weekday,2748411,-0.099657,0.00594718,5.029999999999999e-63,-9.9657,-11.1313,-8.80005,***
-15_10,1,≤10 °C,≤10 °C,cold,0,4,(4) agem + state^year + yday + weekday,2761626,-0.0944841,0.00598543,3.8999999999999997e-56,-9.44841,-10.6216,-8.27527,***
-15_10,1,≤10 °C,≤10 °C,cold,0,5,(5) agem^year^month + weekday,2643528,-0.0905144,0.00498985,1.55e-73,-9.05144,-10.0295,-8.07343,***
-15_10,1,≤10 °C,≤10 °C,cold,0,6,(6) agem^weekday + agem^year^month,2642643,-0.0908088,0.00479861,7.239999999999998e-80,-9.08088,-10.0214,-8.14035,***
-15_10,1,≤10 °C,≤10 °C,cold,0,7,(7) agem^year^month + date,2643528,-0.0494932,0.00625129,2.43e-15,-4.94932,-6.17457,-3.72407,***
-15_10,1,≤10 °C,≤10 °C,cold,1,1,(1) agem + date,2761626,-0.0724015,0.0095327,3.08e-14,-7.24015,-9.10856,-5.37174,***
-15_10,1,≤10 °C,≤10 °C,cold,1,2,(2) agem^yday + agem^year + date,2738859,-0.0731202,0.0077366,3.3500000000000002e-21,-7.31202,-8.82839,-5.79564,***
-15_10,1,≤10 °C,≤10 °C,cold,1,3,(3) agem^week + state^year + weekday,2748411,-0.134396,0.00629639,4.339999999999999e-101,-13.4396,-14.6737,-12.2055,***
-15_10,1,≤10 °C,≤10 °C,cold,1,4,(4) agem + state^year + yday + weekday,2761626,-0.123061,0.00663415,8.219999999999998e-77,-12.3061,-13.6064,-11.0058,***
-15_10,1,≤10 °C,≤10 °C,cold,1,5,(5) agem^year^month + weekday,2643528,-0.118822,0.00534113,1.2199999999999997e-109,-11.8822,-12.929,-10.8353,***
