agem,name,reports,years_reporting,first_year,last_year,mean_rate
01005,Jesús María,FALSE,0,,,
01011,San Francisco de los Romo,FALSE,0,,,
01001,Aguascalientes,TRUE,14,2008,2021,10321.5
01008,San José de Gracia,FALSE,0,,,
01007,Rincón de Romos,TRUE,14,2008,2021,37086.6
01009,Tepezalá,FALSE,0,,,
01004,Cosío,FALSE,0,,,
01002,Asientos,FALSE,0,,,
01003,Calvillo,TRUE,14,2008,2021,29925.3
01010,El Llano,FALSE,0,,,
01006,Pabellón de Arteaga,TRUE,14,2008,2021,53087
15001,Acambay de Ruíz Castañeda,TRUE,14,2008,2021,10955.7
15003,Aculco,FALSE,0,,,
15004,Almoloya de Alquisiras,FALSE,0,,,
15005,Almoloya de Juárez,FALSE,0,,,
15006,Almoloya del Río,FALSE,0,,,
15007,Amanalco,FALSE,0,,,
15008,Amatepec,FALSE,0,,,
15012,Atizapán,TRUE,14,2008,2021,22075.9
15014,Atlacomulco,TRUE,14,2008,2021,13294.7
15018,Calimaya,FALSE,0,,,
15019,Capulhuac,FALSE,0,,,
15021,Coatepec Harinas,TRUE,14,2008,2021,21522.5
15026,Chapa de Mota,FALSE,0,,,
15027,Chapultepec,FALSE,0,,,
15032,Donato Guerra,FALSE,0,,,
15038,Isidro Fabela,FALSE,0,,,
15040,Ixtapan de la Sal,TRUE,14,2008,2021,55003.3
15041,Ixtapan del Oro,FALSE,0,,,
15042,Ixtlahuaca,TRUE,14,2008,2021,10020
15043,Xalatlaco,TRUE,14,2008,2021,23906.9
15045,Jilotepec,TRUE,14,2008,2021,17176.2
15046,Jilotzingo,FALSE,0,,,
15047,Jiquipilco,TRUE,11,2011,2021,11363.3
15048,Jocotitlán,FALSE,0,,,
15049,Joquicingo,FALSE,0,,,
15051,Lerma,TRUE,3,2019,2021,2817
15052,Malinalco,TRUE,14,2008,2021,11839.3
15054,Metepec,FALSE,0,,,
15055,Mexicaltzingo,FALSE,0,,,
15056,Morelos,FALSE,0,,,
15060,Nicolás Romero,TRUE,9,2013,2021,4960.1
15062,Ocoyoacac,FALSE,0,,,
15063,Ocuilan,FALSE,0,,,
15064,El Oro,TRUE,14,2008,2021,10424
15066,Otzoloapan,FALSE,0,,,
15067,Otzolotepec,TRUE,13,2009,2021,5020.8
15071,Polotitlán,FALSE,0,,,
15072,Rayón,FALSE,0,,,
15073,San Antonio la Isla,FALSE,0,,,
15074,San Felipe del Progreso,TRUE,14,2008,2021,13574.8
15076,San Mateo Atenco,FALSE,0,,,
15077,San Simón de Guerrero,FALSE,0,,,
15078,Santo Tomás,FALSE,0,,,
15079,Soyaniquilpan de Juárez,FALSE,0,,,
15080,Sultepec,TRUE,14,2008,2021,15880.9
15082,Tejupilco,TRUE,14,2008,2021,16623.6
15085,Temascalcingo,FALSE,0,,,
15086,Temascaltepec,TRUE,14,2008,2021,18829.7
15087,Temoaya,TRUE,14,2008,2021,11752.7
15088,Tenancingo,TRUE,14,2008,2021,30994.5
15090,Tenango del Valle,TRUE,14,2008,2021,10265.6
15095,Tepotzotlán,TRUE,1,2020,2020,6090.7
15097,Texcaltitlán,TRUE,14,2008,2021,23110
15098,Texcalyacac,FALSE,0,,,
15101,Tianguistenco,FALSE,0,,,
15102,Timilpan,FALSE,0,,,
15105,Tlatlaya,TRUE,14,2008,2021,19860.1
15106,Toluca,TRUE,14,2008,2021,7155
15107,Tonatico,FALSE,0,,,
15110,Valle de Bravo,TRUE,14,2008,2021,31753
15111,Villa de Allende,FALSE,0,,,
15112,Villa del Carbón,TRUE,12,2008,2021,17628.6
15113,Villa Guerrero,TRUE,12,2010,2021,11919.6
15114,Villa Victoria,TRUE,14,2008,2021,14525.5
15115,Xonacatlán,TRUE,14,2008,2021,21429.5
15116,Zacazonapan,FALSE,0,,,
15117,Zacualpan,TRUE,14,2008,2021,27846.7
15118,Zinacantepec,FALSE,0,,,
15119,Zumpahuacán,FALSE,0,,,
15123,Luvianos,FALSE,0,,,
15124,San José del Rincón,FALSE,0,,,
02005,Playas de Rosarito,TRUE,11,2008,2021,10967.1
02004,Tijuana,TRUE,14,2008,2021,2476.3
02001,Ensenada,TRUE,14,2008,2021,7242.8
02002,Mexicali,TRUE,14,2008,2021,4760.6
02003,Tecate,TRUE,14,2008,2021,17274.5
03009,Loreto,TRUE,13,2009,2021,27330.1
03002,Mulegé,TRUE,14,2008,2021,6470.9
03001,Comondú,TRUE,13,2008,2021,24971.3
03003,La Paz,TRUE,14,2008,2021,6867.3
03008,Los Cabos,TRUE,14,2008,2021,10005.5
04003,Carmen,TRUE,14,2008,2021,9688.1
04007,Palizada,TRUE,14,2008,2021,28322.5
04001,Calkiní,TRUE,14,2008,2021,10037.3
04005,Hecelchakán,FALSE,0,,,
04002,Campeche,TRUE,14,2008,2021,11593.1
04011,Candelaria,TRUE,13,2009,2021,11136.4
04010,Calakmul,TRUE,11,2010,2021,8335.9
04009,Escárcega,TRUE,13,2009,2021,16716.2
04008,Tenabo,FALSE,0,,,
04006,Hopelchén,TRUE,14,2008,2021,13812.6
04004,Champotón,TRUE,14,2008,2021,11020.7
05030,Saltillo,TRUE,14,2008,2021,1956
05006,Castaños,FALSE,0,,,
05027,Ramos Arizpe,FALSE,0,,,
05026,Progreso,FALSE,0,,,
05015,Juárez,FALSE,0,,,
05013,Hidalgo,FALSE,0,,,
05005,Candela,FALSE,0,,,
05004,Arteaga,FALSE,0,,,
05035,Torreón,TRUE,9,2008,2021,1583.4
05038,Zaragoza,TRUE,3,2008,2019,1350
05037,Villa Unión,FALSE,0,,,
05036,Viesca,FALSE,0,,,
05034,Sierra Mojada,FALSE,0,,,
05033,San Pedro,TRUE,14,2008,2021,8063.6
05032,San Juan de Sabinas,TRUE,12,2010,2021,11711.1
05031,San Buenaventura,FALSE,0,,,
05029,Sacramento,FALSE,0,,,
05028,Sabinas,TRUE,10,2012,2021,2988.3
05025,Piedras Negras,TRUE,14,2008,2021,5462.4
05024,Parras,TRUE,11,2011,2021,2932.9
05023,Ocampo,FALSE,0,,,
05022,Nava,FALSE,0,,,
05021,Nadadores,FALSE,0,,,
05020,Múzquiz,TRUE,11,2011,2021,6256.9
05019,Morelos,FALSE,0,,,
05018,Monclova,TRUE,13,2008,2021,4140.5
05017,Matamoros,TRUE,14,2008,2021,4381.4
05016,Lamadrid,FALSE,0,,,
05014,Jiménez,FALSE,0,,,
05012,Guerrero,FALSE,0,,,
05011,General Cepeda,TRUE,12,2008,2021,650.4
05010,Frontera,FALSE,0,,,
05009,Francisco I. Madero,TRUE,12,2008,2021,7826.4
05008,Escobedo,FALSE,0,,,
05007,Cuatro Ciénegas,TRUE,10,2010,2021,19910.7
05003,Allende,TRUE,10,2012,2021,17512.1
05002,Acuña,TRUE,14,2008,2021,6511.5
05001,Abasolo,FALSE,0,,,
06001,Armería,FALSE,0,,,
06002,Colima,TRUE,14,2008,2021,15777
06003,Comala,FALSE,0,,,
06004,Coquimatlán,FALSE,0,,,
06005,Cuauhtémoc,FALSE,0,,,
06006,Ixtlahuacán,TRUE,10,2010,2021,50049.1
06007,Manzanillo,TRUE,12,2010,2021,11338
06008,Minatitlán,FALSE,0,,,
06009,Tecomán,TRUE,14,2008,2021,26327.2
06010,Villa de Álvarez,TRUE,4,2018,2021,3665.9
07027,Chiapa de Corzo,TRUE,1,2021,2021,240.8
07101,Tuxtla Gutiérrez,TRUE,14,2008,2021,7683.4
07099,La Trinitaria,FALSE,0,,,
07102,Tuxtla Chico,FALSE,0,,,
07055,Metapa,FALSE,0,,,
07115,Maravilla Tenejapa,FALSE,0,,,
07059,Ocosingo,TRUE,12,2009,2021,1202
07089,Tapachula,TRUE,11,2009,2021,4540.9
07041,La Independencia,FALSE,0,,,
07003,Acapetahua,FALSE,0,,,
07032,Escuintla,FALSE,0,,,
07050,La Libertad,FALSE,0,,,
07097,Tonalá,TRUE,14,2008,2021,15159.4
07092,Tecpatán,FALSE,0,,,
07090,Tapalapa,FALSE,0,,,
07088,Sunuapa,FALSE,0,,,
07079,San Fernando,FALSE,0,,,
07074,Reforma,TRUE,4,2018,2021,24089.3
07062,Ostuacán,TRUE,2,2020,2021,4513.8
07060,Ocotepec,FALSE,0,,,
07048,Juárez,FALSE,0,,,
07043,Ixtacomitán,FALSE,0,,,
07033,Francisco León,FALSE,0,,,
07025,Chapultenango,FALSE,0,,,
07021,Copainalá,TRUE,1,2021,2021,1526.4
07009,Arriaga,TRUE,14,2008,2021,45777.4
07042,Ixhuatán,FALSE,0,,,
07040,Huixtla,TRUE,14,2008,2021,16245.3
07039,Huitiupán,FALSE,0,,,
07038,Huixtán,FALSE,0,,,
07037,Huehuetán,FALSE,0,,,
07035,Frontera Hidalgo,FALSE,0,,,
07034,Frontera Comalapa,TRUE,7,2015,2021,8127.5
07031,Chilón,FALSE,0,,,
07030,Chicomuselo,FALSE,0,,,
07029,Chicoasén,FALSE,0,,,
07028,Chiapilla,FALSE,0,,,
07026,Chenalhó,FALSE,0,,,
07024,Chanal,FALSE,0,,,
07023,Chamula,TRUE,7,2015,2021,1682.2
07022,Chalchihuitán,TRUE,9,2011,2021,1465.4
07019,Comitán de Domínguez,TRUE,13,2009,2021,45799
07018,Coapilla,FALSE,0,,,
07016,Catazajá,FALSE,0,,,
07015,Cacahoatán,FALSE,0,,,
07014,El Bosque,FALSE,0,,,
07013,Bochil,FALSE,0,,,
07010,Bejucal de Ocampo,FALSE,0,,,
07008,Angel Albino Corzo,TRUE,10,2011,2021,14637.2
