agem,years_present,origin_rate,beds_per_100k,doctors_per_100k,offices_per_100k
01001,11,7440.2,61.6,78.6,28.3
01002,10,6315,,,
01003,12,20633.4,78.2,172.5,82
01004,10,7817.6,,,
01005,10,2320.3,,,
01006,10,31365.5,89.4,202.4,35.1
01007,12,16852.2,98.4,185.2,71.5
01008,10,9978.4,,,
01009,10,10259.1,,,
01010,11,2865.3,,,
01011,10,3894.7,,,
02001,11,1878.4,42.8,55.6,35.3
02002,11,3732,37,38.6,20
02003,11,11926.9,60,83.3,25.9
02004,12,2004.4,18.2,20.1,10.9
02005,10,6245.2,51.4,62.5,18.7
03001,11,19196,76.3,92,44.2
03002,11,4767.6,64.3,75.8,49.1
03003,12,5075,90.7,82.4,38.6
03008,11,8251.8,35.2,52.1,24.6
03009,11,21226.1,153.9,121.3,53.3
04001,11,7142.6,68.3,92.6,38.8
04002,11,7335.7,160,144.5,45.4
04003,12,7042.5,52.4,53.7,24.5
04004,11,8798,40.7,80.5,37.3
04005,10,464.8,,,
04006,11,12091.7,85.3,102.7,58
04007,10,22871.8,159.3,215.7,136.5
04008,9,936.5,,,
04009,10,13620.9,77,115.9,59.1
04010,10,7645.2,73.9,98.8,71.8
04011,11,9344.5,133,112.4,97.8
05001,9,1590,,,
05002,11,4405.5,32,33.8,11.1
05003,11,10710.4,203.5,174.1,39.5
05004,9,381.9,,,
05005,9,1844.7,,,
05006,11,565.2,,,
05007,10,15508.7,254.5,178.1,102.1
05008,11,1113,,,
05009,11,5421.6,48.6,83.9,40.2
05010,11,867,,,
05011,11,751.1,103.5,100.6,44.8
05012,9,925.9,,,
05013,8,653.8,,,
05014,7,1970.3,,,
05015,9,343.1,,,
05016,9,995.1,,,
05017,11,2738.3,23.8,35.6,20.6
05018,11,1117,26.2,49.7,17.7
05019,9,1712.6,,,
05020,11,3101.9,60.7,90.1,29.2
05021,8,325.2,,,
05022,9,415.4,,,
05023,10,744.5,,,
05024,10,2428.3,226.2,78.7,36.2
05025,11,4300.9,46.7,52.9,21.6
05026,8,273.3,,,
05027,9,170.5,,,
05028,11,2635.8,17.4,44.1,13.2
05029,8,733.1,,,
05030,11,1341.9,32.7,38.2,16.6
05031,11,333.7,,,
05032,9,8598.7,78.8,96.3,53.7
05033,11,5027,51.9,60.8,36.7
05034,8,214.8,,,
05035,10,430.8,19.4,26,13.5
05036,9,323.3,,,
05037,9,1923.1,,,
05038,9,655.1,64.3,65,42.3
06001,9,1145.1,,,
06002,11,11808.7,144.9,184.1,62.1
06003,9,1137,,,
06004,9,1256.2,,,
06005,10,647.1,,,
06006,10,23707.7,1004.6,446.2,401.7
06007,10,901.8,71.6,72.4,43.6
06008,10,591.2,,,
06009,11,13877.4,111.7,112.4,60.9
06010,10,739.6,37.4,62.8,18.1
07001,9,866.2,,,
07002,10,11939.2,135.3,131.9,39.8
07003,9,646.8,,,
07004,10,250.4,,,
07005,10,3026.1,48.5,80.8,56.6
07006,11,1760.6,,,
07007,11,933.2,,,
07008,11,11370,91.5,60,43.9
07009,11,29947.7,109.7,170.6,66.7
07010,9,1047.8,,,
07011,11,1895.6,,,
07012,9,511.6,28.5,101.9,34.5
07013,10,196.3,,,
07014,10,352,,,
07015,10,133.1,,,
07016,11,2016.5,,,
07017,11,6529.9,35.2,65,34.1
07018,10,696,,,
07019,12,27649.2,124.5,154,35.1
07020,11,1095.3,,,
07021,9,557.5,76.3,49.4,58.4
07022,10,1364.9,77.8,59.2,51.3
07023,10,1225.2,19.8,51.1,32.3
07024,10,746.4,,,
07025,9,2199.6,,,
07026,11,513.5,,,
07027,10,709.5,15.8,69.2,23.6
07028,9,3029.9,,,
07029,9,484.4,,,
07030,11,2018.6,,,
07031,11,443.1,,,
07032,9,670.7,,,
07033,9,726.9,,,
07034,11,5086.2,44.9,70.4,43.8
07035,9,149.4,,,
07036,9,682.2,,,
07037,9,1531.9,,,
07038,10,845.8,,,
07039,9,285.1,,,
07040,10,2348.2,114,149.2,41.2
07041,11,2988.3,,,
07042,10,2107,,,
07043,9,4347.4,,,
07044,10,843.4,,,
07045,10,4863.1,,,
07046,11,1273,,,
07047,9,202.1,28.1,24.1,20.1
07048,9,2973.8,,,
07049,11,3135.9,80.6,89.2,58.6
07050,9,5484.9,,,
07051,9,154,,,
07052,11,6220.9,29.4,70.2,42.7
07053,9,154.6,,,
07054,9,186.2,,,
07055,8,219.1,,,
07056,10,338.2,,,
07057,11,362,,,
07059,11,1106.7,32.4,42,23.9
07060,8,293.3,,,
07061,9,209.4,,,
07062,9,2192,129.5,132.2,94.4
07063,6,588.3,,,
07064,11,604,34.8,49.9,43.2
07065,11,7503.4,72.5,90.4,27.8
07066,10,497.2,,,
07067,9,1411.4,,,
07068,10,6691.5,173,222.2,69
07069,10,6688.2,42,107.7,83.5
07070,11,587.6,162.8,80.6,46.6
07071,10,1191.7,,,
07072,9,396.7,,,
07073,9,1123.2,,,
07074,10,9691.4,156.9,160.1,61.7
07075,11,1600.1,74.7,81.6,55.5
07076,10,1644.5,,,
07077,10,1225.5,34.5,51.7,35
07078,11,4222.7,75.3,120.5,22.6
07079,9,601.5,,,
07080,10,573.1,,,
07081,10,278.1,31.9,52.4,48.7
07082,10,244.2,,,
07083,11,1136.3,,,
07084,9,2748,,,
07085,9,562.1,,,
07086,9,832.8,,,
07087,9,160.9,,,
07088,9,5391.2,,,
07089,11,2576.8,84.1,83.2,33.4
07090,9,1103.3,,,
07091,9,4510.3,151.3,83.8,63.5
07092,9,484.8,,,
07093,10,455,,,
07094,11,1815,29.3,66.5,46.4
07096,11,5277.4,39.6,22.3,14.7
07097,11,10106.1,56.8,88.1,49.2
07098,9,2438.6,,,
07099,11,3384.5,,,
07100,10,1745.6,,,
07101,11,6001.9,84.7,130.8,25.7
07102,10,130.8,,,
07103,10,2189.2,,,
07104,11,2608,,,
07105,9,167.6,,,
07106,11,347.5,,,
07107,11,4430.9,49.6,40.7,44.2
07108,11,7180.5,105.1,114.3,41
07109,11,6110.1,128.6,121.9,27.6
07110,10,1472.7,,,
07111,9,441.4,,,
07112,10,303.6,,,
07113,9,715.9,,,
07114,8,473.9,,,
07115,8,1164.9,,,
07116,10,319.4,,,
07117,9,717.5,,,
07118,8,130.7,,,
07119,8,2598.6,,,
08001,10,377,,,
08002,9,18678.1,13.8,68.6,39.7
08003,9,453.5,,,
08004,9,173.9,,,
08005,10,1020.9,,,
08006,9,913.6,,,
08007,10,822.1,,,
08008,11,708.1,,,
08009,10,452.4,,,
08010,10,1484.8,,,
08011,10,17058.3,111.6,113.4,49
08012,9,822.5,,,
08013,10,1984.2,,,
08014,9,1816.6,,,
08015,9,1272.3,,,
08016,9,451.1,,,
08017,9,4460.9,78.9,99.5,30.2
08018,9,1082.6,,,
08019,11,3540.6,71.5,70.3,22
08020,9,337.9,,,
08021,9,6528.5,61.9,69.2,17
08022,9,512.8,,,
08023,10,2420,,,
08024,8,544.5,,,
08025,10,23509.9,328.7,237.1,164
08026,8,816.4,,,
08027,9,1090.2,18.2,46.2,43.2
