bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,spec_label_en,spec_label_es,nobs,n_mun,mrate,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,0,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.102298,0.00446806,5.16e-116,-10.2298,-11.1055,-9.35405,***
-15_10,1,≤10 °C,≤10 °C,cold,0,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0349907,0.01384,0.0115,-3.49907,-6.2117000000000004,-0.786441,**
-15_10,1,≤10 °C,≤10 °C,cold,1,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.131607,0.00573716,1.8799999999999998e-116,-13.1607,-14.2852,-12.0362,***
-15_10,1,≤10 °C,≤10 °C,cold,1,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0529805,0.00973289,5.23e-8,-5.29805,-7.2057,-3.39041,***
-15_10,1,≤10 °C,≤10 °C,cold,2,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.136012,0.00627117,2.6399999999999993e-104,-13.6012,-14.8303,-12.372,***
-15_10,1,≤10 °C,≤10 °C,cold,2,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0519502,0.00940873,3.36e-8,-5.19502,-7.03913,-3.35091,***
-15_10,1,≤10 °C,≤10 °C,cold,3,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.154277,0.0066263,6.659999999999999e-120,-15.4277,-16.7264,-14.1289,***
-15_10,1,≤10 °C,≤10 °C,cold,3,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0588398,0.00926692,2.16e-10,-5.88398,-7.70029,-4.06766,***
-15_10,1,≤10 °C,≤10 °C,cold,4,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.162137,0.00796985,5.269999999999999e-92,-16.2137,-17.7758,-14.6516,***
-15_10,1,≤10 °C,≤10 °C,cold,4,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0652592,0.0101804,1.45e-10,-6.52592,-8.52128,-4.53056,***
-15_10,1,≤10 °C,≤10 °C,cold,5,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.166543,0.0080512,4.689999999999999e-95,-16.6543,-18.2323,-15.0762,***
-15_10,1,≤10 °C,≤10 °C,cold,5,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0582369,0.0110856,1.49e-7,-5.82369,-7.99646,-3.65092,***
-15_10,1,≤10 °C,≤10 °C,cold,6,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.175264,0.00872829,1.0999999999999997e-89,-17.5264,-19.2371,-15.8156,***
-15_10,1,≤10 °C,≤10 °C,cold,6,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.054464,0.0108349,4.99e-7,-5.4464,-7.57004,-3.32277,***
