year,residence_visits,facility_visits,ratio
2008,1,4891670,2.0442916222885027e-7
2009,1,7081334,1.4121633014344473e-7
2010,142,7085054,2.004219022183882e-5
2011,83865,8323478,0.010075715944704846
2012,6596854,8751964,0.7537569852892448
2013,134628,9245300,0.014561777335511016
2014,9723341,10356273,0.938884191252973
2015,9347614,9826198,0.9512950990810485
2016,9319500,9935435,0.9380062372709398
2017,7927080,8821140,0.8986457532699855
2018,7710703,8252533,0.9343437948082122
2019,8078963,8476621,0.9530876749119725
2020,4889391,5246565,0.9319223148860254
2021,5092048,5367646,0.9486557049403035
