agem,days,mean_temp,share_cold,share_10_15,share_15_20,share_20_25,share_25_30,share_hot
01001,5114,18.4,0.86,14.63,54.01,29.02,1.49,0
01002,5114,17.1,2.33,23.48,55.65,18.38,0.16,0
01003,5114,17.5,1.06,20.2,59.52,18.89,0.33,0
01004,5114,17.5,2.23,22.31,52.15,23,0.31,0
01005,5114,17.9,1.08,18.28,56.28,23.68,0.68,0
01006,5114,17.9,1.31,18.91,52.66,26.3,0.82,0
01007,5114,17.6,1.88,20.9,54.24,22.53,0.45,0
01008,5114,17.3,1.86,22.27,56.73,18.91,0.23,0
01009,5114,17.2,2.44,24.29,53.27,19.85,0.16,0
01010,5114,17.9,1.08,18.22,55.32,24.76,0.63,0
01011,5114,17.9,1.15,18.79,53.38,25.93,0.74,0
02001,5114,17.3,5.2,30.02,34.02,25.64,5.1,0.02
02002,5114,24.8,1.25,12.77,19.34,18.46,15.33,32.85
02003,5114,16.9,14.55,27.71,23.37,23.15,10.77,0.45
02004,5114,16.7,4.63,33.2,37.21,23.37,1.58,0
02005,5114,16.7,3.85,33.73,38.95,22.39,1.08,0
03001,5114,22.7,0,1.33,29.68,36.59,30.23,2.17
03002,5114,21.2,0.06,8.31,35.51,29.66,26.03,0.43
03003,5114,23.7,0,0.37,22.94,33.87,39.48,3.34
03008,5114,23.9,0,0.1,16.48,39.11,43.74,0.57
03009,5114,23.3,0.06,3.54,26.05,29.94,33.83,6.59
04001,5114,27,0,0,1.17,20.83,65.7,12.3
04002,5114,27,0,0,0.8,20.08,67.17,11.95
04003,5114,27,0,0,0.37,21.22,67.19,11.22
04004,5114,27.3,0,0,0.47,17.79,65.19,16.54
04005,5114,27,0,0,1.25,20.51,65,13.24
04006,5114,26.5,0,0,1.56,24.54,66.82,7.08
04007,5114,26.8,0,0,0.92,24.6,61.48,13
04008,5114,27.1,0,0,1,19.4,65.29,14.31
04009,5114,27.1,0,0,0.8,20.32,63.16,15.72
04010,5114,25.7,0,0,1.49,35.04,62.48,1
04011,5114,27.1,0,0,0.88,21.98,62.2,14.94
05001,5114,23.2,4.22,10.29,16.74,23.07,25.52,20.16
05002,5114,22.2,7.22,13.55,17.09,19.85,22.49,19.81
05003,5114,22.5,5.87,12.5,16.62,21.9,24.66,18.46
05004,5114,15.6,11.81,25.95,50.96,11.26,0.02,0
05005,5114,22.7,4.3,10.6,16.99,24.93,28.86,14.31
05006,5114,20.7,6.69,13.22,20.08,31.15,26.77,2.09
05007,5114,21.1,6.53,12.4,18.95,29.45,29.16,3.52
05008,5114,22.8,4.6,11.3,17.19,23.62,25.83,17.46
05009,5114,22.7,2.09,10.77,19.65,25.03,35.28,7.18
