bin,bin_order,bin_label_en,bin_label_es,side,horizon,source,estimate,se,p,pct,ci_low,ci_high,stars
-15_10,1,≤10 °C,≤10 °C,cold,0,ERA5,-0.0908088,0.00479861,7.239999999999998e-80,-9.08088,-10.0214,-8.14035,***
-15_10,1,≤10 °C,≤10 °C,cold,0,CONAGUA (station+IDW),-0.0862371,0.00533199,7.750000000000001e-59,-8.62371,-9.66878,-7.57864,***
-15_10,1,≤10 °C,≤10 °C,cold,0,CONAGUA station-only,-0.08719,0.00593322,6.92e-49,-8.719,-9.88191,-7.55609,***
-15_10,1,≤10 °C,≤10 °C,cold,30,ERA5,-0.160416,0.0186092,6.68e-18,-16.0416,-19.689,-12.3942,***
-15_10,1,≤10 °C,≤10 °C,cold,30,CONAGUA (station+IDW),-0.171154,0.0233339,2.22e-13,-17.1154,-21.6889,-12.542,***
-15_10,1,≤10 °C,≤10 °C,cold,30,CONAGUA station-only,-0.182381,0.0236189,1.15e-14,-18.2381,-22.8674,-13.6088,***
10_15,2,10–15 °C,10–15 °C,cold,0,ERA5,-0.053388,0.00246422,4.359999999999999e-104,-5.3388,-5.82179,-4.85582,***
10_15,2,10–15 °C,10–15 °C,cold,0,CONAGUA (station+IDW),-0.0472334,0.00259983,9.269999999999998e-74,-4.72334,-5.23291,-4.21378,***
10_15,2,10–15 °C,10–15 °C,cold,0,CONAGUA station-only,-0.0486069,0.00285761,6.959999999999999e-65,-4.86069,-5.42078,-4.3006,***
10_15,2,10–15 °C,10–15 °C,cold,30,ERA5,-0.117888,0.0108403,1.5200000000000002e-27,-11.7888,-13.9135,-9.66416,***
10_15,2,10–15 °C,10–15 °C,cold,30,CONAGUA (station+IDW),-0.11745,0.0126387,1.5e-20,-11.745,-14.2222,-9.26786,***
10_15,2,10–15 °C,10–15 °C,cold,30,CONAGUA station-only,-0.130508,0.0131182,2.5599999999999998e-23,-13.0508,-15.622,-10.4796,***
15_20,3,15–20 °C,15–20 °C,cold,0,ERA5,-0.0271041,0.00166958,2.8900000000000003e-59,-2.71041,-3.03764,-2.38317,***
15_20,3,15–20 °C,15–20 °C,cold,0,CONAGUA (station+IDW),-0.0214154,0.00143755,3.44e-50,-2.14154,-2.4233,-1.85978,***
15_20,3,15–20 °C,15–20 °C,cold,0,CONAGUA station-only,-0.0224966,0.00156885,1.24e-46,-2.24966,-2.55715,-1.94217,***
15_20,3,15–20 °C,15–20 °C,cold,30,ERA5,-0.052516,0.00690079,2.74e-14,-5.2516,-6.60415,-3.89904,***
15_20,3,15–20 °C,15–20 °C,cold,30,CONAGUA (station+IDW),-0.047486,0.0090775,1.68e-7,-4.7486,-6.52779,-2.96941,***
15_20,3,15–20 °C,15–20 °C,cold,30,CONAGUA station-only,-0.0573297,0.00982057,5.29e-9,-5.73297,-7.6578,-3.80814,***
25_30,5,25–30 °C,25–30 °C,hot,0,ERA5,0.0246013,0.00186102,6.79e-40,2.46013,2.09537,2.82489,***
25_30,5,25–30 °C,25–30 °C,hot,0,CONAGUA (station+IDW),0.0231607,0.00176053,1.58e-39,2.31607,1.97101,2.66113,***
25_30,5,25–30 °C,25–30 °C,hot,0,CONAGUA station-only,0.022637,0.00196484,1.0299999999999999e-30,2.2637,1.87859,2.64881,***
25_30,5,25–30 °C,25–30 °C,hot,30,ERA5,0.0446652,0.0083735,9.6e-8,4.46652,2.82531,6.10773,***
25_30,5,25–30 °C,25–30 °C,hot,30,CONAGUA (station+IDW),0.0581683,0.00871078,2.43e-11,5.81683,4.10952,7.52414,***
25_30,5,25–30 °C,25–30 °C,hot,30,CONAGUA station-only,0.0575854,0.00981777,4.48e-9,5.75854,3.83426,7.68283,***
30_45,6,>30 °C,>30 °C,hot,0,ERA5,0.0373507,0.0033501,7.23e-29,3.73507,3.07845,4.39169,***
30_45,6,>30 °C,>30 °C,hot,0,CONAGUA (station+IDW),0.0327618,0.00288884,8.23e-30,3.27618,2.70997,3.8424,***
30_45,6,>30 °C,>30 °C,hot,0,CONAGUA station-only,0.0340879,0.00319894,1.63e-26,3.40879,2.7818,4.03578,***
30_45,6,>30 °C,>30 °C,hot,30,ERA5,0.0270759,0.011837,0.0222,2.70759,0.387549,5.02764,**
30_45,6,>30 °C,>30 °C,hot,30,CONAGUA (station+IDW),0.057811,0.0156284,2.16e-4,5.7811,2.71793,8.84427,***
30_45,6,>30 °C,>30 °C,hot,30,CONAGUA station-only,0.0521228,0.0160907,0.0012,5.21228,2.0585,8.36605,***
